item_type,item_id,sha_or_digest,status
source,V1_Gutenberg_10636,7b0cbb0bc47a48d7594314b56d890e3e43ac05666b8c70d98f10719501cf6fb5,FROZEN
source,V2_Gutenberg_12410,c1ce61dd8c6c6a326c42fb7ac3b1a63767bf1685ec88354f83dd321e1748921c,FROZEN
repo_file,PROTOCOL.md,1b09cfefaa755f615617b63fe66cd8034a6b9955,FROZEN
repo_file,build_packets.py,ea798895eea26be535234a76e15077af9904a385,FROZEN
repo_file,judge_prompt_v2.txt,8ae573a775da6b1128c2a4572331553b07e1839d,FROZEN
repo_file,judge_output_schema_v2.json,afcae0e2a9a367032e429d2b2263b07c146a7d44,FROZEN
repo_file,STABILITY_CONTRACT.md,d463c764190370e47537822db6ebeb31241ea84d,FROZEN
repo_file,prepare_judge_calls.py,0ccc9cd7b11b230743d21186fd0779f88d4d502f,FROZEN
repo_file,FRESH_JUDGE_HANDOFF.md,9b842f99db8e11932d42356ed65af351ba510cdd,FROZEN
repo_file,RESULT_ANALYSIS_CONTRACT.md,35d72d5af49cfc0fec6e0d5b0d0e3a60556476b9,FROZEN
repo_file,analyze_judge_results.py,8002d296abb470435de4ea5cd80be7cb640a13a3,FROZEN
artifact,pm-final-judge-bundle-v3,sha256:64414ce70f3e2166fea3187ca13a9d6f03aaae9868c012c7c7bc24f88d0cb658,FROZEN
artifact,pm-final-judge-calls-v1,sha256:b24e4faea9d6ddc994e5dc5529e6ad2091129da5858f39a1159b61bde9833151,FROZEN
artifact,pm-final-audit-manifests-v3,sha256:7cee1f94ebe61022c036ac69d3356e726400c605e6a5ec4243b6d041007403b8,FROZEN
call_file,judge_calls_v1.jsonl,cf8a9853eb8281db3e77d2dfe742f0b89063d5a21cb02a18251f1a086e88536c,FROZEN
context,PM01_exact,b545dc2dbc1227dab749e607a5fad2cfd2e21bb4dcc212ef0621cbba0373cc03,FROZEN
context,PM02_exact,347f763c84099bd0ee6a70165729094d94cfdb7251ded6e0d868cf944467be51,FROZEN
run,authoritative_packet_and_call_build,36210409872,FROZEN
