block_id,phase,transformation_layer,transformation_id,task_id,applicability,pre_outcome_rationale
D01,main_effect,TD,TD_ATTRIBUTION,TAU_PM_REPORT,NA,"attribution is not in candidate distinction set"
D02,main_effect,TD,TD_ATTRIBUTION,TAU_PM_CROSSLAYER,APPLICABLE,"attribution is a candidate distinction; necessity remains a hypothesis"
D03,main_effect,TD,TD_TEMPORAL,TAU_PM_CROSSLAYER,APPLICABLE,"temporal_order is a candidate distinction"
D04,held_out,TD,TD_NORMALIZE,TAU_PM_CROSSLAYER,HELD_OUT,"normalization changes lexical form and requires semantic-preservation audit"
R01,main_effect,TR,TR_EVIDENCE,TAU_PM_CROSSLAYER,APPLICABLE,"evidence_relation is a candidate distinction"
R02,main_effect,TR,TR_BINDING,TAU_PM_CROSSLAYER,APPLICABLE,"claim_binding is a candidate distinction"
A01,main_effect,TA,TA_SPAN,TAU_PM_CROSSLAYER,APPLICABLE,"multi-span cross-layer task may require context beyond focal span"
A02,main_effect,TA,TA_LOCAL,TAU_PM_CROSSLAYER,APPLICABLE,"tests local-context sufficiency"
A03,main_effect,TA,TA_OBJECT,TAU_PM_CROSSLAYER,APPLICABLE,"full declared digital-object access"
D05,main_effect,TD,TD_ATTRIBUTION,TAU_KS_EYEWITNESS,APPLICABLE,"attribution is a candidate distinction"
D06,main_effect,TD,TD_TEMPORAL,TAU_KS_EYEWITNESS,APPLICABLE,"temporal_order is a candidate distinction"
R03,main_effect,TR,TR_EVIDENCE,TAU_KS_EYEWITNESS,APPLICABLE,"evidence_relation is a candidate distinction"
R04,main_effect,TR,TR_BINDING,TAU_KS_EYEWITNESS,APPLICABLE,"claim_binding is a candidate distinction"
A04,main_effect,TA,TA_SPAN,TAU_KS_EYEWITNESS,APPLICABLE,"cross-layer task tests focal-span insufficiency"
A05,main_effect,TA,TA_LOCAL,TAU_KS_EYEWITNESS,APPLICABLE,"tests local-context sufficiency"
A06,main_effect,TA,TA_OBJECT,TAU_KS_EYEWITNESS,APPLICABLE,"full declared digital-object access"
D07,main_effect,TD,TD_ATTRIBUTION,TAU_KS_REVENUE,APPLICABLE,"attribution is a candidate distinction"
R05,main_effect,TR,TR_EVIDENCE,TAU_KS_REVENUE,APPLICABLE,"evidence_relation is a candidate distinction"
R06,main_effect,TR,TR_BINDING,TAU_KS_REVENUE,APPLICABLE,"claim_binding is a candidate distinction"
A07,main_effect,TA,TA_SPAN,TAU_KS_REVENUE,APPLICABLE,"tests whether the supplied note alone is sufficient"
A08,main_effect,TA,TA_LOCAL,TAU_KS_REVENUE,APPLICABLE,"tests benefit of local textual context"
D08,main_effect,TD,TD_ATTRIBUTION,TAU_KS_GEO,APPLICABLE,"attribution is a candidate distinction"
R07,main_effect,TR,TR_EVIDENCE,TAU_KS_GEO,APPLICABLE,"evidence_relation is a candidate distinction"
R08,main_effect,TR,TR_BINDING,TAU_KS_GEO,APPLICABLE,"claim_binding is a candidate distinction"
D09,main_effect,TD,TD_ATTRIBUTION,TAU_COAL_BASE,NA,"attribution is not in candidate distinction set"
R09,main_effect,TR,TR_BINDING,TAU_COAL_BASE,APPLICABLE,"claim_binding is a candidate distinction"
D10,main_effect,TD,TD_ATTRIBUTION,TAU_COAL_NOTE,APPLICABLE,"attribution is a candidate distinction"
D11,main_effect,TD,TD_TEMPORAL,TAU_COAL_NOTE,APPLICABLE,"temporal_order is a candidate distinction but not hypothesized necessary"
R10,main_effect,TR,TR_EVIDENCE,TAU_COAL_NOTE,APPLICABLE,"evidence_relation is a candidate distinction"
R11,main_effect,TR,TR_BINDING,TAU_COAL_NOTE,APPLICABLE,"claim_binding is a candidate distinction"
A09,main_effect,TA,TA_SPAN,TAU_COAL_NOTE,APPLICABLE,"tests whether note relation is recoverable from focal span only"
A10,main_effect,TA,TA_LOCAL,TAU_COAL_NOTE,APPLICABLE,"tests local-context sufficiency"
A11,sensitivity,TA,TA_EXTERNAL,TAU_PM_CROSSLAYER,HELD_OUT,"external witnesses are H2/sensitivity resources, not primary rescue"
A12,sensitivity,TA,TA_EXTERNAL,TAU_KS_EYEWITNESS,HELD_OUT,"external witnesses are H2/sensitivity resources, not primary rescue"
