item_id,claim_id,relation_coordinate,representation_id,min_recovery_depth,unresolved,required_context,source_locator,coder_id,blind_to_claim_outcome
RD001,C_PM_REVISION,attribution,R0,,,,,,
RD002,C_PM_REVISION,attribution,R1,,,,,,
RD003,C_PM_REVISION,temporal_order,R0,,,,,,
RD004,C_PM_REVISION,temporal_order,R1,,,,,,
RD005,C_PM_REVISION,evidence_relation,R0,,,,,,
RD006,C_PM_REVISION,evidence_relation,R1,,,,,,
RD007,C_PM_REPORT,claim_binding,R0,,,,,,
RD008,C_PM_REPORT,claim_binding,R1,,,,,,
RD009,C_KS_EYEWITNESS,attribution,R0,,,,,,
RD010,C_KS_EYEWITNESS,attribution,R1,,,,,,
RD011,C_KS_EYEWITNESS,temporal_order,R0,,,,,,
RD012,C_KS_EYEWITNESS,temporal_order,R1,,,,,,
RD013,C_KS_EYEWITNESS,evidence_relation,R0,,,,,,
RD014,C_KS_EYEWITNESS,evidence_relation,R1,,,,,,
RD015,C_CL_ACCRETION,attribution,R0,,,,,,
RD016,C_CL_ACCRETION,attribution,R1,,,,,,
RD017,C_CL_ACCRETION,evidence_relation,R0,,,,,,
RD018,C_CL_ACCRETION,evidence_relation,R1,,,,,,
