event_ref,theme,text
PM01,paper_money,"The Great Kaan causes bark of trees made into something like paper to pass for money; the narrative explains the imperial currency."
PM02,paper_money,"Dr. Bretschneider makes the following remark: Marco Polo seems to be mistaken; paper in China is not made from mulberry-trees but from Broussonetia papyrifera. H. C."
PM03,paper_money,"Regarding Bretschneider's statement, p. 430, Dr. B. Laufer writes to me: this is a singular error of Bretschneider; Marco Polo is perfectly correct, and mulberry bark was preferred for making paper-money."
PM04,paper_money,"The complete Yule-Cordier digital object assembles the 1903 edition with Cordier's later 1920 notes and addenda."
KS01,kinsay,"The account says it follows the Queen's written statement sent to Bayan and adds that Messer Marco Polo at a later date witnessed the truth of the particulars."
KS02,kinsay_revenue,"Pauthier's text seems to be the only one which says that Marco was sent by the Great Kaan; the G. Text says merely that he had several times heard the calculations made."
KS03,kinsay,"Mr. P. von Tanner wrote in 1901 that the sea wall was a stupendous work; the fact that Marco Polo does not mention it shows almost conclusively that he never visited Hang Chau."
KS04,kinsay,"The Rev. A. C. Moule concluded from later itinerary and atlas work that the identification was neither Yule's nor his earlier suggestion but another province."
CL01,coal,"All over Cathay black stones are dug from mountain beds and burned like firewood; they burn better and cost less."
CL02,coal,"The note says the most important coal-fields in relation to the future include Shan-si; Baron Richthofen's description points to a probable revolution in the world's wealth and power."
