task_id,stage,task_family,question,input_objects,candidate_documentary_distinctions,hypothesized_dependencies,admissible_outputs,background_state,success_rule,outcome_sealed
A_PM_ATTRIBUTION,A,tau_attribution,"Identify the responsible actor/source for the 1903 botanical note and the 1920 paper-money addendum.","PM02|PM03","attribution|citation_derivation|editorial_layer","attribution|citation_derivation","documentary_relation_set|unresolved",H0,"page-verified source-grounded documentary assignment",yes
A_PM_SEQUENCE,A,tau_sequence,"Determine the documentary order of the paper-money base passage, 1903 note, and 1920 addendum.","PM01|PM02|PM03","temporal_succession|editorial_layer","temporal_succession","ordered_documentary_units|unresolved",H0,"edition/date-grounded order without epistemic labels",yes
A_PM_ATTACHMENT,A,tau_attachment,"Determine which earlier documentary statement the 1920 paper-money addendum explicitly targets.","PM02|PM03","attachment|explicit_pointer|referent_binding","attachment|explicit_pointer","documentary_target_set|unresolved",H0,"explicit page/cross-reference or source-grounded target assignment",yes
A_PM_REFERENT,A,tau_referent,"Determine whether PM02 and PM03 concern the same mulberry/paper-money material-identification referent.","PM02|PM03","referent_binding|text_presence","referent_binding","same_referent|different_referent|unresolved",H0,"source-grounded referent assignment without support/challenge coding",yes
A_KS_ATTRIBUTION,A,tau_attribution,"Identify the responsible source/actor for the later Kinsay eyewitness-status passage.","KS03","attribution|citation_derivation|editorial_layer","attribution|citation_derivation","documentary_relation_set|unresolved",H0,"source-grounded documentary assignment",yes
A_KS_SEQUENCE,A,tau_sequence,"Determine the documentary order of the Kinsay base passage and later addendum.","KS01|KS03","temporal_succession|editorial_layer","temporal_succession","ordered_documentary_units|unresolved",H0,"edition/date-grounded order",yes
A_KS_REFERENT,A,tau_referent,"Determine whether the base and later Kinsay passages concern the same Polo/Hangzhou eyewitness-status referent.","KS01|KS03","referent_binding","referent_binding","same_referent|different_referent|unresolved",H0,"source-grounded referent assignment",yes
A_COAL_ATTACHMENT,A,tau_attachment,"Determine which editorial note is attached to the coal-fuel passage.","CL01|CL02","attachment|explicit_pointer|editorial_layer","attachment|explicit_pointer","documentary_target_set|unresolved",H0,"native note-marker/heading assignment",yes
A_COAL_ATTRIBUTION,A,tau_attribution,"Identify the actor/source responsibility within the coal editorial note.","CL02","attribution|citation_derivation","attribution|citation_derivation","documentary_relation_set|unresolved",H0,"source-grounded actor/source assignment",yes
B_PM_MATERIAL,B,tau_epistemic_relation,"Given the verified documentary state and source passages, how does the later paper-money evidence bear on the frozen claim that Polo's mulberry-bark material identification is evidentially usable?","PM01|PM02|PM03","","D_ATTRIBUTION|D_ATTACHMENT|D_TEMPORAL_SUCCESSION|D_CITATION_DERIVATION|D_REFERENT_BINDING","E_SUPPORT|E_UNDERCUT|E_REHABILITATE|E_UNRESOLVED",H0,"independent human adjudication under warrant policy; no representation transformation acts on output",yes
B_KS_EYEWITNESS,B,tau_epistemic_relation,"Given the verified documentary state and source passages, how does the later Kinsay material bear on using the passage as Polo eyewitness evidence?","KS01|KS03","","D_ATTRIBUTION|D_TEMPORAL_SUCCESSION|D_CITATION_DERIVATION|D_REFERENT_BINDING","E_SUPPORT|E_UNDERCUT|E_QUALIFY_AUTHORITY|E_UNRESOLVED",H0,"independent human adjudication under warrant policy",yes
B_COAL_SCALE,B,tau_epistemic_relation,"Given the verified documentary state and source passages, what entitlement does the coal note add beyond the base fuel observation?","CL01|CL02","","D_ATTACHMENT|D_ATTRIBUTION|D_CITATION_DERIVATION|D_REFERENT_BINDING","E_SUPPORT|E_ACCRETION|E_UNRESOLVED",H0,"independent human adjudication under warrant policy",yes
