event_id,theme,locus,edition_layer,actor,operation,target_claim,evidence_relation,provisional_decision,source_anchor,verification_status
PM01,paper_money,Book II ch. XXIV,base narrative,Marco Polo/Rustichello/Yule translation,asserts,"Mulberry bark paper money supported universal imperial payments and accumulation","primary narrative assertion",retain,"1903 vol. 1 printed p. 423; scan PDF page 723; Gutenberg vol. 1 around text line 34944",page image verified
PM02,paper_money,Book II ch. XXIV note,1903 third edition,Henri Cordier citing Emil Bretschneider,adds challenge,"The note identifies Polo's mulberry-tree statement as a botanical mistake","contradicts narrative material identification",revise,"1903 vol. 1 printed p. 430; scan PDF page 732; Gutenberg text lines 35363-35372",page image verified
PM03,paper_money,Book II ch. XXIV addendum,1920 Notes and Addenda,Henri Cordier transmitting Berthold Laufer,corrects prior note,"Chinese and Islamic evidence supports mulberry-bark paper money under the Yuan","contradicts PM02 and restores material plausibility",retain,"1920 addendum printed pp. 70-72; scan PDF pages 84-86; Gutenberg vol. 2 text lines 42730-42809",page image verified
PM04,paper_money,Book II ch. XXIV merged digital object,Project Gutenberg complete Yule-Cordier object,Project Gutenberg,concatenates layers,"A linear reading contains the narrative claim, its 1903 rejection, and its 1920 rehabilitation","creates unresolved cross-layer contradiction unless provenance is modelled",defer,"Gutenberg ebooks 10636 and 12410",object structure checked
KS01,kinsay,Book II ch. LXXVI opening,base narrative,Marco Polo/Rustichello/Yule translation,attributes and confirms,"Kinsay particulars derive from a queen's written statement and were later witnessed by Polo","mixed documentary and eyewitness attribution",revise,"1903 vol. 2 printed p. 185; scan PDF page 227; Gutenberg vol. 2 text lines 10612-10619",page image verified
KS02,kinsay_revenue,Book II ch. LXXVIII note 1,1903 third edition,Yule/Cordier comparing Pauthier and Geographic Text,distinguishes witnesses,"Only Pauthier's text says Polo was sent to inspect revenue; the Geographic Text says he heard the calculations","weakens the personal-inspection basis of the fiscal claim",defer,"1903 vol. 2 printed p. 217; scan PDF page 263; Gutenberg HTML around line 3743",page image verified
KS03,kinsay,Book II ch. LXXVI addendum,1920 Notes and Addenda,Henri Cordier quoting P. von Tanner,adds challenge,"Polo's omission of the sea wall is used to argue that he did not visit Hangzhou and relied on a local poetic account","contradicts eyewitness attribution in KS01",revise,"1920 addendum printed p. 97; scan PDF page 111; Gutenberg vol. 2 text lines 43902-43933",page image verified
KS04,kinsay,Book II ch. LXXVI addendum,1920 Notes and Addenda,Henri Cordier citing A. C. Moule,updates identification,"New itinerary and atlas evidence revises place identifications around Kinsay","corrects editor-level geographic identifications",retain,"1920 addendum printed pp. 96-97; scan PDF pages 110-111; Gutenberg vol. 2 text lines 43873-43913",page image verified
CL01,coal,Book II ch. XXX,base narrative,Marco Polo/Rustichello/Yule translation,asserts,"Coal was widely used as durable and inexpensive fuel in Cathay","primary narrative observation",retain,"1903 vol. 1 printed p. 442; scan PDF page 744; Gutenberg vol. 1 text lines 35942-35955",page image verified
CL02,coal,Book II ch. XXX note 1,1903 third edition,Yule note citing Ferdinand von Richthofen,projects future,"The annotation turns a fuel observation into a forecast of China's future industrial wealth and power","adds nineteenth-century geopolitical interpretation",withhold,"1903 vol. 1 printed p. 442; scan PDF page 744; Gutenberg HTML around line 11330",page image verified
