block_id,transformation_layer,transformation_id,task_id,applicability,reason
B1,TD,TD_ATTRIBUTION,TAU_PM_REPORT,NA,"task does not require actor identity"
B2,TD,TD_ATTRIBUTION,TAU_PM_CROSSLAYER,APPLICABLE,"task requires actor/source distinction"
B3,TD,TD_TEMPORAL,TAU_PM_CROSSLAYER,APPLICABLE,"task requires cross-layer ordering"
B4,TR,TR_EVIDENCE,TAU_PM_CROSSLAYER,APPLICABLE,"task classifies relation among supplied spans"
B5,TR,TR_BINDING,TAU_PM_CROSSLAYER,APPLICABLE,"task requires common referent binding"
B6,TA,TA_SPAN,TAU_PM_CROSSLAYER,APPLICABLE,"tests whether local span exposure is sufficient for cross-layer relation recovery"
B7,TD,TD_ATTRIBUTION,TAU_KS_EYEWITNESS,APPLICABLE,"task requires source/voice distinction"
B8,TD,TD_TEMPORAL,TAU_KS_EYEWITNESS,APPLICABLE,"task compares base and later source-critical layer"
B9,TR,TR_EVIDENCE,TAU_KS_EYEWITNESS,APPLICABLE,"task requires relation classification"
B10,TR,TR_BINDING,TAU_KS_EYEWITNESS,APPLICABLE,"task requires eyewitness-status referent binding"
B11,TD,TD_ATTRIBUTION,TAU_COAL_BASE,NA,"base report task does not require editor attribution"
B12,TD,TD_ATTRIBUTION,TAU_COAL_NOTE,APPLICABLE,"editorial-note task requires voice/source distinction"
B13,TR,TR_EVIDENCE,TAU_COAL_NOTE,APPLICABLE,"task requires relation classification"
B14,TR,TR_BINDING,TAU_COAL_NOTE,APPLICABLE,"task requires common coal referent binding"
B15,TA,TA_SPAN,TAU_COAL_NOTE,APPLICABLE,"tests local-span sufficiency without assuming relation loss"
