experiment_id,work_package,scientific_question,consumer_scope,primary_comparator,necessary_control,main_outcome,authority,status
R1_W_NATIVE,R1,"Can the full native relation representation recover every registered printed-locus endpoint set?",whole_document,"native URI resolution and independent relational join","preserve all links and report malformed inputs","exact endpoint set recovery plus omissions and additions",retrospective_development,PLANNED
R1_W_PROJECTION,R1,"Which complete retained inputs admit conflicting endpoint answers?",record_local_and_whole_document_separate,"full native consumer","all side information and group structure included in projection","actual decoder output and complete-input collision witnesses",retrospective_development_with_controlled_twins_separate,PLANNED
R1_F_NATIVE,R1,"Are every assertion's complete source and locator bundles recovered?",assertion_then_edge_aggregate,"native full-source query","all source elements not first-source only","source-bundle exactness and occurrence-versus-edge denominators",retrospective_development,PLANNED
R1_F_PROJECTION,R1,"Does provenance remain recoverable when file context and item order remain but source fields are reduced?",explicit_joint_projection,"source-complete native query","correct repair versus wrong-source repair with matched interface","source-set recovery and conditional ambiguity certificates",retrospective_development_with_controlled_interventions,PLANNED
R1_SHARED_REPAIR,R1,"Can a source-bound repair preserve a registered task set rather than only one output?",consumer_read_sets_declared,"ordinary native queries with equal inputs","unaffected-task control and source-complete reopening charged","joint recovery plus repair footprint and side-information cost",new_mechanism_test_after_adapter_freeze,PLANNED
R2_FV_REPLAY,R2,"Does the pinned native tokenizer-normalizer-alignment pipeline reproduce the published target?",end_to_end_and_fixed_alignment_separate,"original project pipeline","no target group attributes supplied to predictor","native replay agreement and explicit version or dependency gaps",retrospective_reproduction,PLANNED
R2_FV_TASKS,R2,"When does normalization remove irrelevant differences or erase required distinctions?",joint_grouping_and_source_mapping_tasks,"native normalized tokens with lawful source maps","false-split and false-merge controls plus wrong mapping","per-task errors and source-bound restoration under budget",prospective_only_after_source_group_exposure_audit,PLANNED
R3_YC_INVENTORY,R3,"Which historically meaningful revision episodes and no-response-in-scope cases satisfy source-first eligibility?",declared_historical_source_range,"printed witnesses then page-tied text","retain every screened excluded unresolved and inaccessible item","source-verified episode inventory with complete selection denominators",inventory_before_retrieval_outcomes,PLANNED
R3_YC_FACTORIAL,R3,"Do carrier availability and recovery policy have separable effects on historical relation reconstruction?",crossed_representation_by_policy,"same lexical and carrier-aware methods in both representations","correct bridge wrong bridge and content-preserving serialization","actor-layer-source-target recovery and exposure-cost curves",new_controlled_test_not_historical_randomization,PLANNED
R3_YC_INTERPRETATION,R3,"Which interpretive conclusions depend on additional disputed mapping assumptions?",source_justified_interpretation_family,"separately stated policy mappings","no truth or belief claim inferred from admissibility or stance alone","robust-versus-policy-dependent conclusions with explicit assumptions",conditional_analysis_not_empirical_warrant_rescue,PLANNED
