item_id,event_ref,theme,layer,printed_page,scan_page,digital_locator,evidence_summary,frozen_claim
B01,PM01,paper_money,base_narrative,p423,723,pg10636,"Base narrative describes bark-derived paper money used under imperial authority.","Polo's material description can function as evidence about Yuan paper-money practice."
B02,PM02,paper_money,1903_note_third_edition,p430,732,pg10636,"A 1903 editorial note citing Bretschneider objects to the mulberry-tree material identification.","The botanical objection weakens the material plausibility of Polo's paper-money description."
B03,PM03,paper_money,1920_addendum,pp70-72,84-86,pg12410,"A later addendum transmits Laufer's evidence that the prior botanical objection was mistaken and that mulberry bark was used for paper-money.","Later evidence changes the status of the earlier botanical objection."
B04,PM04,paper_money,merged_digital_object,na,na,pg10636+pg12410,"The digital 'complete' object assembles the base narrative, the 1903 challenge, and the 1920 addendum across its combined edition.","The composite digital object preserves or obscures the historical relation among the three layers."
B05,KS01,kinsay,base_narrative,p185,227,pg12410,"The Kinsay account attributes particulars to a queen's written statement and separately claims that Marco later witnessed their truth.","Kinsay can be used as eyewitness evidence from Marco Polo."
B06,KS02,kinsay_revenue,1903_note_third_edition,p217,263,pg12410,"The note distinguishes Pauthier's wording from the Geographic Text: one makes Marco personally sent to inspect revenue; the other has him hear the calculations.","The fiscal figures rest on Marco's personal inspection."
B07,KS03,kinsay,1920_addendum,p97,111,pg12410,"A later note transmits Tanner's argument from Polo's silence about the sea wall to doubt that Polo personally visited Hangzhou.","Kinsay can be used as eyewitness evidence from Marco Polo."
B08,KS04,kinsay,1920_addendum,pp96-97,110-111,pg12410,"The addendum reports Moule's later itinerary and atlas work and revises geographical identifications associated with Kinsay.","Specific editor-level geographical identifications around Kinsay are correct."
B09,CL01,coal,base_narrative,p442,744,pg10636,"The base narrative reports black stones mined and burned as durable, inexpensive fuel in Cathay.","The travel account reports widespread coal use as fuel."
B10,CL02,coal,1903_note_third_edition,p442-443,744+,pg10636,"The editorial note cites Richthofen and expands the coal observation into a forecast about China's future industrial wealth and global power.","The coal passage itself warrants a broad modern industrial/geopolitical interpretation."
